yr,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrentmortw,ttrestw,ttpeniraw,ttpenw,fraceqpen,ttothdebt,ttcurrency,ttundtr_kg,ttundtr_div,ttundtr_int,ttundtr_bus,ttundtr_rent,ttfainc,ttfkcot,ttfkmik,ttfkprk,ttproptax_res,ttproptax_bus,ttfkinc,ttfkhou,ttfkhoumain,ttfkhourent,ttfkequ,ttfkfix,ttfkbus,ttfkpen,ttfkmor,ttfknmo,ttflinc,ttflemp,ttfllbu,ttflprl,ttsalestax,ttflwag,ttflsup,ttoacont,ttdicont,tthicont,ttuicont,ttsecont_oa,ttsecont_di,ttsecont_hi,ttptinc,ttplcon,ttinvincpen,ttpenben,ttuidiben,ttssben,ttuiben,ttssiben,ttsnapben,ttworkcompben,ttvetben,ttnonvetben,tttanfben,ttothben,ttmedicare,ttmedicaid,ttmedicaidenroll,ttothinkind,ttkindben,ttcolexp,tteducexp,ttnpishinc,ttgovint,tttax,ttben,ttprimsupgov,ttprisupss,ttprisupenprivate,payrolltaxer,pensioncont,healthcont,othbenefits,ttfedtax,ttstatetax,ttcred,ttestatetax,fracestp0p90,fracestp90p95,fracestp95p99,fracestp99p995,fracestp995p999,fracestp999p9999,fracesttop001,ttothcon,ttdiinc,ttdikin,ttninc,private_saving,piksaezden,piksaezwag,piksaezbus,piksaezint,piksaezdiv,piksaezren,piksaezdenKG,hwequ0,bond0,currency0,nonmort0,rental0,ownerhome0,ownermort0,hwbus0,hwpen0,flemp0,flmil0,fkhoumain0,fkhourent0,fkequ0,fkfix0,fkbus0,fkpen0,fkmor0,fknmo0,gdpdeflator,nideflator,cpipiksaez,pcedeflator,totadults20,adults65p,population,tottaxunits,minwage,paycap,ssrate,oarate,dirate,hirate,stdyr_s,stdyr_h,stdyr_m,snapded3,snapded4,snapded5,snapded6,snapdedkid,povcut1,povcut2,povcut3,povcut4,povcut5,povcut6,povcut7,povcut8,povcutadd,snapben1,snapben2,snapben3,snapben4,snapben5,snapben6,snapben7,snapben8,snapbenadd,snapbenmin,snapassn,snapasse,ssiress,ssiresc,ssicuts,ssicutc,snapparticip
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,159163.78,39311.27,24754.06,24027.38,726.69,61873.27,0.00,11256.15,-4017.14,-1535.49,21161.09,0.00,3948.19,0.03,-3444.43,4321.31,0.00,0.00,0.00,0.00,0.00,33896.75,20.33,2406.93,203.34,699.00,910.50,9611.87,3372.21,2126.31,1245.90,1803.21,1693.79,3026.01,246.85,-451.00,-79.21,24284.88,18051.64,5616.16,617.08,820.43,0.00,162.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33773.58,162.71,0.92,40.45,0.00,0.00,0.00,0.00,0.00,0.00,200.04,0.00,0.00,0.00,0.00,0.00,0.00,39.79,39.79,2436.10,,0.00,132.71,2647.43,2675.94,-27.90,0.00,122.26,0.00,162.71,0.00,0.00,0.00,197.18,0.00,0.00,0,0,0,0,0,0,0,0.00,33802.08,31365.98,33764.04,0.061978,27630.89,18924.22,5078.55,1200.76,1597.14,830.23,27630.89,0.246986,0.155526,0.027150,-0.021641,0.070721,0.132952,-0.025239,0.388740,0.024806,0.546433,0.170004,0.062729,0.036756,0.053197,0.050443,0.089271,0.006808,-0.013305,-0.002337,20.438477,20.90862143,22.21585224,20.2654453,56687,,97225.00,37700.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,,165036.40,37979.32,27444.78,26569.79,874.99,62229.95,0.00,12603.25,-4429.97,-1693.29,23650.63,0.00,4391.23,0.03,-3855.23,5022.44,0.00,0.00,0.00,0.00,0.00,31746.65,18.16,2297.30,122.27,776.66,1011.67,9313.60,3392.00,2138.79,1253.21,1695.68,1610.89,2962.83,232.72,-492.70,-87.82,22433.06,16708.20,5360.36,364.50,486.78,0.00,150.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31631.14,150.60,2.35,37.44,0.00,0.00,0.00,0.00,0.00,0.00,187.30,0.00,0.00,0.00,0.00,0.00,0.00,37.26,37.26,2298.47,,0.00,133.79,2505.88,2523.03,-16.59,0.00,113.16,0.00,150.60,0.00,0.00,28.00,184.61,0.00,0.00,0,0,0,0,0,0,0,0.00,31648.29,29349.82,31612.86,0.065889,27948.16,19392.78,5136.86,1151.08,1410.83,856.60,27948.16,0.230127,0.166295,0.030432,-0.023360,0.076367,0.143306,-0.026842,0.377068,0.026608,0.534991,0.171637,0.067371,0.039475,0.053413,0.051172,0.093327,0.006901,-0.015520,-0.002766,20.17428987,20.63835723,21.92062497,20.00349477,57986,,99111.00,38513.30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,183646.91,45329.62,30482.17,29458.87,1023.29,65949.13,0.00,13950.36,-4842.80,-1851.09,26140.17,0.00,4834.28,0.03,-4266.03,6070.03,0.00,0.00,0.00,0.00,0.00,33742.25,19.04,2360.39,113.38,854.33,1112.84,9967.20,3634.16,2291.48,1342.68,1881.77,1781.72,3053.14,250.86,-537.48,-96.98,23775.05,17930.54,5507.57,336.94,450.32,0.00,161.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33616.97,161.62,3.85,40.18,0.00,0.00,0.00,0.00,0.00,0.00,199.02,0.00,0.00,0.00,0.00,0.00,0.00,39.59,39.59,2444.39,,0.00,151.08,2673.69,2683.00,-8.70,0.00,121.44,0.00,161.62,0.00,0.00,41.00,196.17,0.00,0.00,0,0,0,0,0,0,0,0.00,33626.27,31181.89,33591.17,0.079367,28973.61,20014.80,5325.34,1272.04,1475.68,885.75,28973.61,0.246830,0.165982,0.033053,-0.023230,0.075963,0.142339,-0.026370,0.359108,0.026324,0.539037,0.165571,0.067911,0.039792,0.055769,0.053228,0.090484,0.007010,-0.015929,-0.002874,19.71104555,20.16445695,21.70430301,19.54417227,59028,,100546.00,39154.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,208957.65,55714.21,33817.90,32646.30,1171.60,72902.23,0.00,15297.46,-5255.63,-2008.88,28629.71,0.00,5277.32,0.03,-4676.84,7251.30,0.00,0.00,0.00,0.00,0.00,42638.06,73.57,2728.14,243.16,932.00,1214.00,12963.03,4136.22,2608.05,1528.17,3723.35,2038.35,3478.67,282.00,-588.33,-107.23,29675.03,22642.29,6365.65,667.09,910.25,23159.48,-517.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42479.21,204.09,5.50,50.74,0.00,0.00,0.00,0.00,0.00,0.00,251.61,0.00,0.00,0.00,0.00,0.00,0.00,50.05,50.05,3175.79,,0.00,171.14,3445.82,3477.44,-30.87,0.00,153.35,0.00,204.09,0.00,-721.27,68.00,248.00,0.00,0.00,0,0,0,0,0,0,0,0.00,42510.84,39335.05,42466.92,0.119312,34456.02,23105.44,6333.00,1437.65,2641.43,938.50,35007.60,0.266629,0.161841,0.034702,-0.022382,0.073208,0.137012,-0.025152,0.348885,0.025255,0.543247,0.152728,0.061167,0.035841,0.087325,0.048173,0.081586,0.006246,-0.013798,-0.002515,18.09095962,18.50710432,20.17770066,17.93780195,60063,,101961.00,39790.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,217521.76,51078.61,37570.92,36251.02,1319.90,78365.22,0.00,16644.56,-5668.46,-2166.68,31119.25,0.00,5720.36,0.03,-5087.64,7778.94,0.00,0.00,0.00,0.00,0.00,50970.93,306.79,3398.09,362.34,1009.66,1315.17,15603.66,4495.09,2834.33,1660.76,4999.40,2261.90,4290.99,311.57,-638.00,-117.29,35367.27,26473.33,7928.87,965.07,1327.41,28982.10,-2508.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50784.46,238.62,7.17,59.32,0.00,0.00,0.00,0.00,0.00,0.00,300.67,0.00,0.00,0.00,0.00,0.00,0.00,59.81,59.81,9222.95,,0.00,222.71,4489.01,9583.43,-5093.51,0.00,179.29,0.00,238.62,0.00,-2747.39,173.00,296.36,0.00,60.62,0.00000,0.00000,0.00000,0.01335,0.13378,0.35716,0.49571,0.00,55878.88,46655.94,50748.22,0.177585,41827.08,28508.26,7687.80,1583.05,3050.13,997.85,42193.27,0.234821,0.172723,0.035762,-0.023389,0.076519,0.143063,-0.026059,0.360264,0.026298,0.533951,0.159920,0.055607,0.032582,0.098083,0.044706,0.084185,0.005783,-0.012517,-0.002301,15.11295834,15.46060035,17.18257322,14.98501237,60914,,103268.00,40386.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,231808.72,48676.96,43488.21,42020.01,1468.20,85056.70,0.00,17991.66,-6081.29,-2324.48,33608.79,0.00,6163.40,0.03,-5498.44,8402.74,0.00,0.00,0.00,0.00,0.00,63049.91,804.85,3805.62,535.14,1087.33,1416.34,18664.03,5024.04,3167.86,1856.19,6508.79,2744.99,4842.73,360.51,-689.37,-127.67,44385.89,34036.31,8879.77,1469.81,2004.94,32600.43,1435.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62810.05,306.79,9.35,76.27,0.00,0.00,0.00,0.00,0.00,0.00,371.17,0.00,0.00,0.00,0.00,0.00,0.00,73.84,73.84,14219.95,,0.00,402.33,6623.97,14664.96,-8039.86,0.00,230.52,0.00,306.79,0.00,1129.09,795.00,365.85,0.00,149.67,0.00000,0.00000,0.00000,0.01335,0.13378,0.35716,0.49571,0.00,70851.04,56631.08,62647.59,0.165296,46568.46,32248.88,8559.26,1573.99,3085.94,1100.39,46912.27,0.209988,0.187604,0.036249,-0.023720,0.077614,0.144985,-0.026234,0.366926,0.026588,0.558320,0.145661,0.050244,0.029440,0.103232,0.043837,0.076808,0.005418,-0.010934,-0.002025,12.8601653,13.15598652,14.62995147,12.75129142,60477,,103208.00,40451.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,265691.79,59167.17,50231.09,48614.58,1616.51,97042.01,0.00,19338.76,-6494.12,-2482.28,36098.33,0.00,6606.44,0.03,-5909.25,9611.35,0.00,0.00,0.00,0.00,0.00,69884.17,808.50,4340.54,643.86,1164.99,1517.50,21539.90,5349.10,3372.82,1976.28,7617.02,3572.81,5442.76,432.33,-736.80,-137.32,48344.27,36565.70,10127.92,1650.64,2294.50,38482.11,-1916.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69624.18,329.59,12.35,81.94,0.00,0.00,0.00,0.00,0.00,0.00,409.73,0.00,0.00,0.00,0.00,0.00,0.00,81.51,81.51,7896.30,,0.00,728.24,7482.57,8387.54,-903.72,0.00,247.65,0.00,329.59,0.00,-2245.99,1128.00,403.86,0.00,165.21,0.00000,0.00000,0.00000,0.01036,0.10732,0.35834,0.52397,0.00,70529.14,62632.85,69155.94,0.146159,53163.65,38088.46,9771.46,1558.89,2673.94,1070.90,54237.82,0.222691,0.189058,0.036175,-0.022241,0.072786,0.135865,-0.024442,0.365243,0.024865,0.541730,0.150048,0.048263,0.028279,0.108995,0.051457,0.077883,0.005854,-0.010543,-0.001965,11.27269907,11.53200394,12.73766045,11.17726464,61758,,104514.00,41052.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
