yr,fdivinc,fdivkg,fintinc,fintinctax,fintexm ,fschcincp,fscorpinc,fscorpinc2,fpartpinc,fpartpinc2,frentincp,fmortded,fresttax,fpenira,fpen,fothdebt,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrestw,ttpeniraw,ttpenw,ttothdebt,ttcurrency,fintbottom99,fintop1,fpenlabor,festdivkg,festdiv,festint,festhous,festbus,ttmuni,fnonmort,qequity,qbond,qhousing,qbusiness,qpension,gdpinf,qeqmarket,yieldeq,yieldfix,yieldhous,yieldbus,yieldpen,blowwag,blowlbus,ttestpos,ttkinc,ttkinc2,ttkg,ttdivinc,ttnakinc,ttnalinc,ttintinc,ttestinc,ttrentincp
1960,31.7128,15.3536,58.2968,53.4006,,,0,0,,,32.4797,19.1104,85.5676,,107,,0.8886,1562035,344318.81,305873,280184,25689,272163,0,121158,-135684,475272,0,173019,-70661,76577,,,0.648400677,45.92480465,42.4288455,15.93851942,9.512265148,2.318637242,25689,,0.016008,-0.018325,-0.000246,-0.002522,-0.01431,0.013833,0.044021723,0.10801989,0.05713177,0.04598234,0.09138182,0.06326591,1.2858246,1.08551623,0,52960,52960,10517,10007,112009,368954,5057,636,3544
1961,34.2402,13.8128,55.5725,50.9085,,,0,0,,,33.3822,,,,100.7782,,0.8786,1661109,386947,327343,299871,27473,278538,0,128354,-147650,498976,0,187448,-76132,77287,,,0.676276568,54.41809645,49.88861224,16.78465104,9.763309812,2.282031865,27473,,0.11922,-0.017297,-0.005509,0.004548,-0.000339,0.011018,0.112065036,0.09986356,0.0576286,0.0454402,0.0907341,0.06350259,1.2795541,1.10734681,0,55472,55472,15151,10385,116546,381046,5683,629,3661
1962,34.4355,16.2777,48.0148,44.2209,,7.591,0,0,7.5579,7.558,33.0092,22.9504,76.7854,,86.5207,14.3143,0.8801,1755789,421407,353478,325547,27931,288703,0,135328,-161116,522108,0,200988,-82219,77113,48.20547655,25.3164557,0.683215681,55.4092894,46.96095331,13.81697814,8.312115041,1.91151863,27931,14.3143476,0.064784,-0.01588,0.002839,0.013879,-0.004748,0.01231,0.075368826,0.10833119,0.05980795,0.04641179,0.09420207,0.06697204,1.2883515,1.05692158,693,60533,60533,12300,11335,130179,405281,7155,662,3933
1963,32.8548,15.8509,40.4625,37.5274,,7.5753,0,0,7.5379,7.538,33.2213,23.6097,73.5055,,79.7054,,0.8824,1822552,434408,382510,354764,27747,298522,0,136848,-176655,543205,0,215364,-91298,79648,39.7816064,25,0.692948423,55.4691359,49.46447144,13.3449923,9.554349133,2.178637478,27747,,-0.013299,-0.01221,0.005602,0.011986,-0.012377,0.011268,0.024182194,0.11604166,0.06097739,0.0473655,0.09606989,0.06938793,1.2876824,1.03216413,0,64778,64778,12830,12200,140490,426262,9212,679,3924
1964,38.6171,16.5857,40.822,37.9642,,7.6144,0,0,7.57,7.57,34.9269,24.3779,70.9912,,75.4365,12.9186,0.8875,1939928,489686,413323,384387,28936,310397,0,137612,-193668,566539,0,235211,-102631,83459,39.14221977,23.86634845,0.700797539,0,0,0,0,0,28936,12.9185829,0.06101,-0.022543,0.008033,0.011975,-0.009215,0.015335,0.114819096,0.11545375,0.06354937,0.04688306,0.09766086,0.07241617,1.2789924,1.02933872,0,66824,66824,16844,12681,152864,455415,10125,0,3940
1965,40.6736,16.3501,39.5533,36.8233,,7.5143,0,0,7.4658,7.466,35.4117,23.0856,66.341,,71.9868,,0.904,2092389,560947,446794,415956,30838,328918,0,142355,-210840,592712,0,256849,-113564,88218,37.88367486,23.36448598,0.715003111,0,0,0,0,0,30838,,0.080207,-0.025331,0.004001,0.026027,-0.007091,0.018308,0.127053169,0.11742991,0.06511532,0.04631511,0.10198807,0.07495155,1.2807855,1.02283613,0,72193,72193,20517,13791,170391,489397,11296,0,4020
1966,34.3564,14.358,35.4839,33.0208,,7.4866,4.7547,4.755,7.4416,7.442,32.4282,21.9002,63.4377,,62.2381,14.5953,0.9252,2195099,555365,483125,449590,33535,350896,8972,150538,-226043,627286,0,275466,-123025,92518,35.18981495,20.28397566,0.703279473,42.00646505,46.72530485,12.81267103,9.129036471,2.107598961,33535,14.5952745,-0.050765,-0.02741,-0.002549,0.020807,-0.031911,0.028062,-0.017342858,0.12256065,0.06739099,0.0456961,0.09947797,0.07781572,1.2855141,1.02386571,1082,81366,81366,20940,14797,181224,537855,13225,1006,4359
1967,35.0361,12.1778,34.0855,31.8582,,7.612,4.7547,4.755,7.5628,7.563,33.9006,19.8666,61.1118,,58.8804,11.0072,0.9323,2344433,588888,524331,490068,34263,371008,9528,159473,-239273,667334,0,297111,-132570,98604,33.87934213,19.72386588,0.703648217,45.47552138,51.47267006,14.93562056,10.41729314,2.339077784,34263,11.0071513,0.004662,-0.026737,-0.001457,0.012047,-0.020673,0.029061,0.034497321,0.11305312,0.0680234,0.04365472,0.08985337,0.07694494,1.2788337,1.04714905,1132,85700,85700,29212,15292,182855,577465,14899,1032,4387
1968,38.2759,12.1005,32.6682,30.8094,,7.4322,4.7547,4.755,7.3838,7.384,29.2108,20.6049,57.8965,,42.0395,13.4131,0.9474,2621724,718207,567177,534905,32272,393360,10794,171968,-254337,726927,0,325105,-145720,108245,33.08029776,17.73049645,0.701882716,48.45267853,55.24753161,15.69564767,8.910502383,2.267127272,32272,13.4130825,0.156871,-0.045844,0.000516,0.002031,-0.006395,0.042511,0.171904632,0.09867622,0.07061782,0.04173232,0.08921237,0.07697525,1.288559,1.04183346,1174,95028,95028,37675,17121,196358,636931,16782,1138,5540
1969,37.5822,13.4294,30.0714,28.2874,,7.7305,4.7547,4.755,7.6791,7.679,35.9213,16.8416,54.9173,,41.8855,9.8656,0.9624,2768502,710699,609889,573706,36183,418036,12059,187283,-270696,800303,0,347672,-158571,111828,30.52650782,14.99250375,0.681809553,41.93006987,44.80721951,13.04541963,9.143911031,1.967822219,36183,9.8656356,-0.085024,-0.049729,0.048237,0.000958,-0.058296,0.049291,-0.04544449,0.09407037,0.0751198,0.03898176,0.07936507,0.07958916,1.2859762,1.12370043,1576,99000,99000,31268,17216,199088,702294,19626,1421,4852
